"","fecha","posicion","cancion","artista"
"369",1967-11-11,18,"People Are Strange","The Doors"
"370",1965-10-23,18,"Some Enchanted Evening","Jay & The Americans"
"371",1971-04-10,18,"Oye Como Va","Santana"
"372",1996-06-15,18,"Old Man & Me (When I Get To Heaven)","Hootie & The Blowfish"
"373",1961-07-01,18,"Barbara-Ann","The Regents"
"374",1963-03-16,18,"Send Me Some Lovin'","Sam Cooke"
"375",2015-01-31,18,"7/11","Beyonce"
"376",1964-12-12,18,"Right Or Wrong","Ronnie Dove"
"377",1965-03-27,18,"Come Home","The Dave Clark Five"
"378",1958-12-20,18,"Cannonball","Duane Eddy His Twangy Guitar And The Rebels"
"379",1964-02-01,18,"Daisy Petal Pickin'","Jimmy Gilmer And The Fireballs"
"380",1971-12-25,18,"Superstar (Remember How You Got Where You Are)","The Temptations"
"381",1973-01-06,18,"Sitting","Cat Stevens"
"382",1982-07-10,18,"Take Me Down","Alabama"
"383",1994-05-28,18,"Anything (From ""Above The Rim"")","SWV"
"384",1995-11-11,18,"Do You Sleep?","Lisa Loeb & Nine Stories"
"385",1962-09-15,18,"Alley Cat","Bent Fabric and His Piano"
"386",1967-06-24,18,"Do It Again A Little Bit Slower","Jon & Robin And The In Crowd"
"387",1968-02-03,18,"Am I That Easy To Forget","Engelbert Humperdinck"
"388",1970-02-28,18,"Didn't I (Blow Your Mind This Time)","The Delfonics"
"389",1970-10-17,18,"Still Water (Love)","Four Tops"
"390",1971-07-24,18,"Bring The Boys Home","Freda Payne"
"391",1972-12-16,18,"Corner Of The Sky","Jackson 5"
"392",1981-10-31,18,"Say Goodbye To Hollywood","Billy Joel"
"393",1981-12-26,18,"Cool Night","Paul Davis"
"394",1993-07-31,18,"Runaway Train","Soul Asylum"
"395",1993-09-18,18,"Cryin'","Aerosmith"
"396",1959-03-14,18,"She Say (Oom Dooby Doom)","The Diamonds"
"397",1961-02-04,18,"Pepe","Duane Eddy His Twangy Guitar And The Rebels"
"398",1962-11-17,18,"Desafinado","Stan Getz/Charlie Byrd"
"399",1971-12-04,18,"Respect Yourself","The Staple Singers"
"400",1972-12-02,18,"Operator (That's Not the Way it Feels)","Jim Croce"
"401",1977-05-07,18,"Calling Dr. Love","KISS"
"402",1978-03-11,18,"(What A) Wonderful World","Art Garfunkel With James Taylor & Paul Simon"
"403",1978-04-01,18,"Running On Empty","Jackson Browne"
"404",1978-09-30,18,"Right Down The Line","Gerry Rafferty"
"405",1978-10-07,18,"Back In The U.s.a.","Linda Ronstadt"
"406",1981-08-22,18,"Cool Love","Pablo Cruise"
"407",1982-09-18,18,"Somebody's Baby","Jackson Browne"
